run_id,stage,mask_preset,selected_epoch,validation_loss,effective_rank_ratio,wrong_context_gap,closed_set_identity_accuracy,held_out_retrieval_accuracy,gait_balanced_accuracy
a00-baseline,A,medium,40,0.4771663564392644,0.025609662135442,0.0001341409360369,0.106326422,0.0294117647,0.932692308
a01-lr3e-5,A,medium,35,0.6032771045326167,0.0247190818190574,7.0081402858e-05,0.0978203083,0.0281862745,0.931089744
a02-lr3e-4,A,medium,30,0.4203850616756667,0.0127697139978408,0.0207371231323728,0.0765550239,0.0281862745,0.931623932
a03-ema0.995,A,medium,5,0.3817698102221529,0.0135360633333524,2.93303591509e-05,0.0877192982,0.0300245098,0.930021368
a04-mask-light,A,light,40,0.491229768237497,0.0260083650549252,0.000266306521371,0.103136629,0.0306372549,0.9375
a05-mask-heavy,A,heavy,35,0.4637489820647443,0.0218080853422482,0.0001375096073995,0.107389686,0.0287990196,0.928952991
a06-pred-depth3,A,medium,40,0.4901213475272187,0.0246925925215085,0.0001264664034048,0.102604997,0.0306372549,0.933226496
a07-clip-var,A,medium,15,0.5111004361230084,0.0656758099794387,0.0522713588861127,0.0770866560340244,0.0404411764705882,0.8926282051282051
b00-clip-var,B,medium,18,0.5148536573108445,0.0695826361576716,0.0517048692175497,0.0558213716108452,0.034313725490196,0.8856837606837606
b01-mask-light,B,light,88,0.3823045927744645,0.0282793814937273,0.0003521019592881,0.1026049973418394,0.0324754901960784,0.9252136752136751
b02-mask-light-clip-var,B,light,84,0.554661562300136,0.1958017945289611,0.1136324724958588,0.0579479000531632,0.048406862745098,0.8840811965811965
