protocol_label,protocol_name,gallery_policy,gallery_size,query_count,recovered_factors,recovered_factor_count,top1_fraction,top1_decimal,mrr_fraction,mrr_decimal
"GFC-v2 full gallery, 16 queries",gfc_v2,retain_all,8,16,none,0,1/8,0.125,2/9,0.22222222222222221
"GFC-v2 full gallery, 16 queries",gfc_v2,retain_all,8,16,speed,1,1/4,0.25,2/5,0.40000000000000002
"GFC-v2 full gallery, 16 queries",gfc_v2,retain_all,8,16,clothing,1,1/4,0.25,2/5,0.40000000000000002
"GFC-v2 full gallery, 16 queries",gfc_v2,retain_all,8,16,direction,1,1/4,0.25,2/5,0.40000000000000002
"GFC-v2 full gallery, 16 queries",gfc_v2,retain_all,8,16,speed + clothing,2,1/2,0.5,2/3,0.66666666666666663
"GFC-v2 full gallery, 16 queries",gfc_v2,retain_all,8,16,speed + direction,2,1/2,0.5,2/3,0.66666666666666663
"GFC-v2 full gallery, 16 queries",gfc_v2,retain_all,8,16,clothing + direction,2,1/2,0.5,2/3,0.66666666666666663
"GFC-v2 full gallery, 16 queries",gfc_v2,retain_all,8,16,speed + clothing + direction,3,1,1,1,1
"Same 16-query design, donors excluded",gfc_v2,exclude_donors,6,16,none,0,1/6,0.16666666666666666,2/7,0.2857142857142857
"Same 16-query design, donors excluded",gfc_v2,exclude_donors,6,16,speed,1,1/3,0.33333333333333331,1/2,0.5
"Same 16-query design, donors excluded",gfc_v2,exclude_donors,6,16,clothing,1,1/3,0.33333333333333331,1/2,0.5
"Same 16-query design, donors excluded",gfc_v2,exclude_donors,6,16,direction,1,1/3,0.33333333333333331,1/2,0.5
"Same 16-query design, donors excluded",gfc_v2,exclude_donors,6,16,speed + clothing,2,1/2,0.5,2/3,0.66666666666666663
"Same 16-query design, donors excluded",gfc_v2,exclude_donors,6,16,speed + direction,2,3/4,0.75,5/6,0.83333333333333337
"Same 16-query design, donors excluded",gfc_v2,exclude_donors,6,16,clothing + direction,2,3/4,0.75,5/6,0.83333333333333337
"Same 16-query design, donors excluded",gfc_v2,exclude_donors,6,16,speed + clothing + direction,3,1,1,1,1
