run_id,stage,seed,mask_preset,learning_rate,ema_start,predictor_depth,clip_variance_coefficient,completed_epochs,selected_checkpoint,selected_epoch,validation_loss,subject_balanced_loss,effective_rank,effective_rank_ratio,target_feature_effective_rank,wrong_context_gap,relative_gap,feature_std,near_zero_variance_fraction,closed_set_identity_accuracy,held_out_retrieval_accuracy,gait_balanced_accuracy,validation_sequences,validation_subjects
a00-baseline,A,0,medium,0.0001,0.99,6,0.0,40,best_loss,40,0.4771663564392644,0.4771735851187257,9.834110260009766,0.025609662135442097,9.49,0.00013414093603690466,0.0002811198531218716,0.025917699560523033,0.0,0.106326422,0.0294117647,0.932692308,624,80
a01-lr3e-5,A,0,medium,0.00003,0.99,6,0.0,40,best_loss,35,0.6032771045326167,0.6032799685063461,9.492127418518066,0.024719081819057465,8.78,0.00007008140285809833,0.0001161678477959034,0.03902978077530861,0.0,0.0978203083,0.0281862745,0.931089744,624,80
a02-lr3e-4,A,0,medium,0.0003,0.99,6,0.0,40,best_loss,30,0.42038506167566675,0.42039741414288667,4.903570175170898,0.012769713997840881,4.84,0.020737123132372894,0.049328877314798326,0.05785781145095825,0.0,0.0765550239,0.0281862745,0.931623932,624,80
a03-ema0.995,A,0,medium,0.0001,0.995,6,0.0,40,best_loss,5,0.38176981022215295,0.3817764258167396,5.197848320007324,0.013536063333352407,5.31,0.000029330359150966005,0.0000768273403648617,0.04388826712965965,0.0,0.0877192982,0.0300245098,0.930021368,624,80
a04-mask-light,A,0,light,0.0001,0.99,6,0.0,40,best_loss,40,0.49122976823749703,0.49120843474132314,9.987212181091309,0.02600836505492528,9.65,0.00026630652137100687,0.0005421221159428076,0.028503617271780968,0.0,0.103136629,0.0306372549,0.9375,624,80
a05-mask-heavy,A,0,heavy,0.0001,0.99,6,0.0,40,best_loss,35,0.46374898206474435,0.4637507947627452,8.37430477142334,0.02180808534224828,7.96,0.00013750960739950338,0.00029651732449583157,0.025450989603996277,0.0,0.107389686,0.0287990196,0.928952991,624,80
a06-pred-depth3,A,0,medium,0.0001,0.99,3,0.0,40,best_loss,40,0.4901213475272187,0.4901310733674714,9.481955528259277,0.024692592521508534,9.39,0.0001264664034048716,0.0002580308000109061,0.02645391784608364,0.0,0.102604997,0.0306372549,0.933226496,624,80
a07-clip-var,A,0,medium,0.0001,0.99,6,1.0,40,best_healthy,15,0.5111004361230084,0.5112072211690247,25.219511032104492,0.06567580997943878,19.05,0.05227135888611276,0.10227218603572552,0.4457109272480011,0.0,0.07708665603402445,0.04044117647058824,0.8926282051282051,624,80
b00-clip-var,B,0,medium,0.0001,0.99,6,1.0,100,best_healthy,18,0.5148536573108445,0.5150307394564153,26.7197322845459,0.06958263615767162,,0.05170486921754976,0.10042634151151185,0.4630848169326782,0.0,0.05582137161084529,0.03431372549019608,0.8856837606837606,624,80
b01-mask-light,B,0,light,0.0001,0.99,6,0.0,100,best_loss,88,0.38230459277446455,0.38225704270104555,10.859282493591309,0.028279381493727367,,0.00035210195928812025,0.0009209985073232904,0.02086668461561203,0.0,0.10260499734183945,0.032475490196078434,0.9252136752136753,624,80
b02-mask-light-clip-var,B,0,light,0.0001,0.99,6,1.0,100,best_healthy,84,0.554661562300136,0.5547579130002609,75.1878890991211,0.19580179452896118,,0.11363247249585887,0.20486812178697641,0.5655511617660522,0.0,0.057947900053163214,0.04840686274509804,0.8840811965811965,624,80
